Infraction;Agency;Tickets

PHTO SCHOOL ZN SPEED VIOLATION;DEPARTMENT OF TRANSPORTATION;27559
NO PARKING-STREET CLEANING;TRAFFIC;10614
FAIL TO DSPLY MUNI METER RECPT;TRAFFIC;8853
NO STANDING-DAY/TIME LIMITS;TRAFFIC;6902
NO PARKING-DAY/TIME LIMITS;TRAFFIC;5359
INSP. STICKER-EXPIRED/MISSING;TRAFFIC;4584
FIRE HYDRANT;TRAFFIC;4446
FAILURE TO STOP AT RED LIGHT;DEPARTMENT OF TRANSPORTATION;4296
EXPIRED MUNI METER;TRAFFIC;3132
BUS LANE VIOLATION;DEPARTMENT OF TRANSPORTATION;3033
DOUBLE PARKING;TRAFFIC;2821
REG. STICKER-EXPIRED/MISSING;TRAFFIC;2736
NO STANDING-BUS STOP;TRAFFIC;2056
FAIL TO DISP. MUNI METER RECPT;TRAFFIC;1776
NO STANDING-EXC. TRUCK LOADING;TRAFFIC;1633
NO PARKING-STREET CLEANING;DEPARTMENT OF SANITATION;1592
NO STANDING-COMM METER ZONE;TRAFFIC;1590
FRONT OR BACK PLATE MISSING;TRAFFIC;1519
DOUBLE PARKING-MIDTOWN COMML;TRAFFIC;845
NO STANDING-EXC. AUTH. VEHICLE;TRAFFIC;770
CROSSWALK;TRAFFIC;727
PLTFRM LFTS LWRD POS COMM VEH;TRAFFIC;673
BIKE LANE;TRAFFIC;550
NO STOPPING-DAY/TIME LIMITS;TRAFFIC;511
DOUBLE PARKING;POLICE DEPARTMENT;427
EXPIRED MUNI MTR-COMM MTR ZN;TRAFFIC;420
SIDEWALK;TRAFFIC;418
NO STANDING-DAY/TIME LIMITS;POLICE DEPARTMENT;408
FIRE HYDRANT;POLICE DEPARTMENT;372
SAFETY ZONE;TRAFFIC;317
OBSTRUCTING DRIVEWAY;POLICE DEPARTMENT;279
COMML PLATES-UNALTERED VEHICLE;TRAFFIC;271
OBSTRUCTING TRAFFIC/INTERSECT;TRAFFIC;249
NO STANDING-BUS LANE;TRAFFIC;240
NGHT PKG ON RESID STR-COMM VEH;TRAFFIC;214
NO STANDING-BUS STOP;POLICE DEPARTMENT;208
NON-COMPLIANCE W/ POSTED SIGN;TRAFFIC;183
NO STANDING-TAXI STAND;TRAFFIC;178
NO PARKING-DAY/TIME LIMITS;POLICE DEPARTMENT;169
NO PARKING-EXC. AUTH. VEHICLE;TRAFFIC;157
INSP STICKER-MUTILATED/C'FEIT;TRAFFIC;118
NO PARKING-STREET CLEANING;POLICE DEPARTMENT;113
NO MATCH-PLATE/STICKER;TRAFFIC;104
NO STANDING EXCP D/S;TRAFFIC;94
WRONG WAY;TRAFFIC;89
NGHT PKG ON RESID STR-COMM VEH;POLICE DEPARTMENT;88
CROSSWALK;POLICE DEPARTMENT;86
INSP. STICKER-EXPIRED/MISSING;POLICE DEPARTMENT;79
PARKED BUS-EXC. DESIG. AREA;TRAFFIC;79
STORAGE-3HR COMMERCIAL;TRAFFIC;72
PEDESTRIAN RAMP;POLICE DEPARTMENT;69
NO STANDING-HOTEL LOADING;TRAFFIC;62
DETACHED TRAILER;TRAFFIC;55
SIDEWALK;POLICE DEPARTMENT;51
OBSTRUCTING DRIVEWAY;TRAFFIC;48
DOUBLE PARKING-MIDTOWN COMML;POLICE DEPARTMENT;47
ANGLE PARKING;TRAFFIC;44
FRONT OR BACK PLATE MISSING;POLICE DEPARTMENT;44
TRAFFIC LANE;POLICE DEPARTMENT;43
REG. STICKER-EXPIRED/MISSING;POLICE DEPARTMENT;42
REG STICKER-MUTILATED/C'FEIT;TRAFFIC;41
BIKE LANE;POLICE DEPARTMENT;40
NO STANDING-EXC. AUTH. VEHICLE;POLICE DEPARTMENT;34
IMPROPER REGISTRATION;TRAFFIC;33
NGHT PKG ON RESID STR-COMM VEH;DEPARTMENT OF SANITATION;33
BEYOND MARKED SPACE;TRAFFIC;31
NO PARKING-DAY/TIME LIMITS;OTHER/UNKNOWN AGENCIES;30
DETACHED TRAILER;DEPARTMENT OF SANITATION;29
NO PARKING-TAXI STAND;TRAFFIC;29
NO STANDING-DAY/TIME LIMITS;DEPARTMENT OF SANITATION;27
NO STANDING-EXC. TRUCK LOADING;POLICE DEPARTMENT;25
OBSTRUCTING TRAFFIC/INTERSECT;POLICE DEPARTMENT;23
NO STANDING-BUS LANE;POLICE DEPARTMENT;22
BUS PARKING IN LOWER MANHATTAN;TRAFFIC;19
IDLING;TRAFFIC;19
EXPIRED METER;TRAFFIC;18
NO PARKING-DAY/TIME LIMITS;PARKS DEPARTMENT;18
OTHER;POLICE DEPARTMENT;18
NO STANDING-COMM METER ZONE;POLICE DEPARTMENT;16
OVERTIME PKG-TIME LIMIT POSTED;TRAFFIC;16
SELLING/OFFERING MCHNDSE-METER;TRAFFIC;16
NO STANDING-EXC. AUTH. VEHICLE;OTHER/UNKNOWN AGENCIES;15
NO STD(EXC TRKS/GMTDST NO-TRK);TRAFFIC;15
VIN OBSCURED;TRAFFIC;15
NO PARKING-DAY/TIME LIMITS;DEPARTMENT OF SANITATION;14
STORAGE-3HR COMMERCIAL;DEPARTMENT OF SANITATION;13
UNAUTHORIZED BUS LAYOVER;TRAFFIC;13
FAIL TO DSPLY MUNI METER RECPT;POLICE DEPARTMENT;12
FIRE HYDRANT;DEPARTMENT OF SANITATION;12
FAIL TO DSPLY MUNI METER RECPT;OTHER/UNKNOWN AGENCIES;11
FIRE HYDRANT;OTHER/UNKNOWN AGENCIES;11
NO PARKING-EXC. AUTH. VEHICLE;OTHER/UNKNOWN AGENCIES;11
NO PARKING-EXC. AUTH. VEHICLE;POLICE DEPARTMENT;11
NO STANDING EXCP D/S;POLICE DEPARTMENT;11
NO STANDING-DAY/TIME LIMITS;OTHER/UNKNOWN AGENCIES;11
SIDEWALK;PARKS DEPARTMENT;11
MISSING EQUIPMENT;TRAFFIC;9
NO PARKING-STREET CLEANING;OTHER/UNKNOWN AGENCIES;9
NON-COMPLIANCE W/ POSTED SIGN;PARKS DEPARTMENT;9
TRAFFIC LANE;TRAFFIC;9
IMPROPER REGISTRATION;POLICE DEPARTMENT;8
NIGHTTIME STD/ PKG IN A PARK;PARKS DEPARTMENT;8
NO STOPPING-DAY/TIME LIMITS;POLICE DEPARTMENT;8
UNAUTHORIZED BUS LAYOVER;POLICE DEPARTMENT;8
INTERSECTION;TRAFFIC;7
NO STANDING-DAY/TIME LIMITS;PARKS DEPARTMENT;7
OVERNIGHT TRACTOR TRAILER PKG;DEPARTMENT OF SANITATION;7
OVERNIGHT TRACTOR TRAILER PKG;TRAFFIC;7
PEDESTRIAN RAMP;TRAFFIC;7
PLTFRM LFTS LWRD POS COMM VEH;POLICE DEPARTMENT;7
SAFETY ZONE;POLICE DEPARTMENT;7
NON-COMPLIANCE W/ POSTED SIGN;OTHER/UNKNOWN AGENCIES;6
NON-COMPLIANCE W/ POSTED SIGN;POLICE DEPARTMENT;6
PEDESTRIAN RAMP;DEPARTMENT OF SANITATION;6
STORAGE-3HR COMMERCIAL;POLICE DEPARTMENT;6
ANGLE PARKING;POLICE DEPARTMENT;5
BEYOND MARKED SPACE;POLICE DEPARTMENT;5
DIVIDED HIGHWAY;TRAFFIC;5
BEYOND MARKED SPACE;OTHER/UNKNOWN AGENCIES;4
CROSSWALK;DEPARTMENT OF SANITATION;4
DETACHED TRAILER;POLICE DEPARTMENT;4
DOUBLE PARKING;DEPARTMENT OF SANITATION;4
DOUBLE PARKING;OTHER/UNKNOWN AGENCIES;4
INSP. STICKER-EXPIRED/MISSING;OTHER/UNKNOWN AGENCIES;4
NIGHTTIME STD/ PKG IN A PARK;POLICE DEPARTMENT;4
NO STANDING-BUS STOP;OTHER/UNKNOWN AGENCIES;4
NO STANDING-EXC. AUTH. VEHICLE;DEPARTMENT OF SANITATION;4
EXCAVATION-VEHICLE OBSTR TRAFF;TRAFFIC;3
EXPIRED MUNI METER;OTHER/UNKNOWN AGENCIES;3
IDLING;POLICE DEPARTMENT;3
NO MATCH-PLATE/STICKER;POLICE DEPARTMENT;3
NO PARKING-STREET CLEANING;LONG ISLAND RAILROAD;3
NO STANDING-EXC. AUTH. VEHICLE;CON RAIL;3
NO STANDING-EXC. AUTH. VEHICLE;NYS COURT OFFICERS;3
NON-COMPLIANCE W/ POSTED SIGN;PARKING CONTROL UNIT;3
OVERNIGHT TRACTOR TRAILER PKG;POLICE DEPARTMENT;3
PARKED BUS-EXC. DESIG. AREA;POLICE DEPARTMENT;3
PEDESTRIAN RAMP;OTHER/UNKNOWN AGENCIES;3
SAFETY ZONE;OTHER/UNKNOWN AGENCIES;3
SIDEWALK;DEPARTMENT OF SANITATION;3
SIDEWALK;OTHER/UNKNOWN AGENCIES;3
BEYOND MARKED SPACE;PARKS DEPARTMENT;2
DIVIDED HIGHWAY;POLICE DEPARTMENT;2
EXPIRED MUNI METER;POLICE DEPARTMENT;2
FAIL TO DSPLY MUNI METER RECPT;ROOSEVELT ISLAND SECURITY;2
FRONT OR BACK PLATE MISSING;DEPARTMENT OF SANITATION;2
NO PARKING-DAY/TIME LIMITS;HEALTH AND HOSPITAL CORP. POLICE;2
NO PARKING-DAY/TIME LIMITS;PARKING CONTROL UNIT;2
NO STANDING-BUS STOP;PARKS DEPARTMENT;2
NO STANDING-BUS STOP;TRANSIT AUTHORITY;2
NO STANDING-COMMUTER VAN STOP;TRAFFIC;2
NO STANDING-EXC. AUTH. VEHICLE;HEALTH DEPARTMENT POLICE;2
NO STANDING-EXC. TRUCK LOADING;DEPARTMENT OF SANITATION;2
NO STOP/STANDNG EXCEPT PAS P/U;TRAFFIC;2
OBSTRUCTING DRIVEWAY;DEPARTMENT OF SANITATION;2
OTHER;DEPARTMENT OF SANITATION;2
RAILROAD CROSSING;POLICE DEPARTMENT;2
REG. STICKER-EXPIRED/MISSING;PARKS DEPARTMENT;2
SAFETY ZONE;PARKS DEPARTMENT;2
UNAUTHORIZED BUS LAYOVER;TRANSIT AUTHORITY;2
UNAUTHORIZED PASSENGER PICK-UP;TRAFFIC;2
WRONG WAY;POLICE DEPARTMENT;2
ANGLE PARKING;OTHER/UNKNOWN AGENCIES;1
ANGLE PARKING-COMM VEHICLE;TRAFFIC;1
CROSSWALK;NYS COURT OFFICERS;1
CROSSWALK;OTHER/UNKNOWN AGENCIES;1
DOUBLE PARKING;PARKING CONTROL UNIT;1
DOUBLE PARKING;ROOSEVELT ISLAND SECURITY;1
ELEVATED/DIVIDED HIGHWAY/TUNNL;POLICE DEPARTMENT;1
EXCAVATION-VEHICLE OBSTR TRAFF;POLICE DEPARTMENT;1
EXPIRED METER;PARKING CONTROL UNIT;1
EXPIRED METER;POLICE DEPARTMENT;1
EXPIRED MUNI MTR-COMM MTR ZN;POLICE DEPARTMENT;1
FAIL TO DSPLY MUNI METER RECPT;DEPARTMENT OF SANITATION;1
FAIL TO DSPLY MUNI METER RECPT;PARKS DEPARTMENT;1
FAILURE TO DISPLAY BUS PERMIT;POLICE DEPARTMENT;1
FIRE HYDRANT;FIRE DEPARTMENT;1
FIRE HYDRANT;HEALTH AND HOSPITAL CORP. POLICE;1
FIRE HYDRANT;NYC OFFICE OF THE SHERIFF;1
FIRE HYDRANT;PARKING CONTROL UNIT;1
FRONT OR BACK PLATE MISSING;NYC OFFICE OF THE SHERIFF;1
INSP STICKER-MUTILATED/C'FEIT;POLICE DEPARTMENT;1
INSP. STICKER-EXPIRED/MISSING;PARKS DEPARTMENT;1
INSP. STICKER-EXPIRED/MISSING;PORT AUTHORITY;1
INTERSECTION;POLICE DEPARTMENT;1
MISSING EQUIPMENT;DEPARTMENT OF SANITATION;1
MISSING EQUIPMENT;POLICE DEPARTMENT;1
NGHT PKG ON RESID STR-COMM VEH;OTHER/UNKNOWN AGENCIES;1
NIGHTTIME STD/ PKG IN A PARK;DEPARTMENT OF SANITATION;1
NIGHTTIME STD/ PKG IN A PARK;OTHER/UNKNOWN AGENCIES;1
NO PARKING-DAY/TIME LIMITS;FIRE DEPARTMENT;1
NO PARKING-DAY/TIME LIMITS;LONG ISLAND RAILROAD;1
NO PARKING-DAY/TIME LIMITS;NYC TRANSIT AUTHORITY MANAGERS;1
NO PARKING-DAY/TIME LIMITS;ROOSEVELT ISLAND SECURITY;1
NO PARKING-EXC. AUTH. VEHICLE;PARKING CONTROL UNIT;1
NO PARKING-EXC. AUTH. VEHICLE;PARKS DEPARTMENT;1
NO PARKING-STREET CLEANING;DEPARTMENT OF CORRECTION;1
NO PARKING-STREET CLEANING;PARKS DEPARTMENT;1
NO PARKING-TAXI STAND;POLICE DEPARTMENT;1
NO STANDING-BUS STOP;HOUSING AUTHORITY;1
NO STANDING-BUS STOP;NYC TRANSIT AUTHORITY MANAGERS;1
NO STANDING-COMM METER ZONE;DEPARTMENT OF SANITATION;1
NO STANDING-DAY/TIME LIMITS;HOUSING AUTHORITY;1
NO STANDING-DAY/TIME LIMITS;NYC TRANSIT AUTHORITY MANAGERS;1
NO STANDING-DAY/TIME LIMITS;PARKING CONTROL UNIT;1
NO STANDING-DAY/TIME LIMITS;PORT AUTHORITY;1
NO STANDING-DAY/TIME LIMITS;TRANSIT AUTHORITY;1
NO STANDING-EXC. AUTH. VEHICLE;HOUSING AUTHORITY;1
NO STANDING-EXC. AUTH. VEHICLE;PARKING CONTROL UNIT;1
NO STANDING-EXC. AUTH. VEHICLE;PARKS DEPARTMENT;1
NO STANDING-EXC. TRUCK LOADING;PARKS DEPARTMENT;1
NO STANDING-HOTEL LOADING;POLICE DEPARTMENT;1
NO STOPPING-DAY/TIME LIMITS;OTHER/UNKNOWN AGENCIES;1
NO STOPPING-DAY/TIME LIMITS;PARKS DEPARTMENT;1
NON-COMPLIANCE W/ POSTED SIGN;HEALTH AND HOSPITAL CORP. POLICE;1
OBSTRUCTING DRIVEWAY;NYC TRANSIT AUTHORITY MANAGERS;1
OBSTRUCTING DRIVEWAY;PARKS DEPARTMENT;1
OBSTRUCTING TRAFFIC/INTERSECT;DEPARTMENT OF SANITATION;1
OT PARKING-MISSING/BROKEN METR;TRAFFIC;1
OTHER;NYS PARKS POLICE;1
OVERTIME PKG-TIME LIMIT POSTED;PARKS DEPARTMENT;1
PEDESTRIAN RAMP;PORT AUTHORITY;1
PKG IN EXC. OF LIM-COMM MTR ZN;TRAFFIC;1
REG. STICKER-EXPIRED/MISSING;PORT AUTHORITY;1
REG. STICKER-EXPIRED/MISSING;ROOSEVELT ISLAND SECURITY;1
TRAFFIC LANE;DEPARTMENT OF SANITATION;1
TRAFFIC LANE;OTHER/UNKNOWN AGENCIES;1
TRAFFIC LANE;PARKING CONTROL UNIT;1
TRAFFIC LANE;PARKS DEPARTMENT;1
UNAUTHORIZED PASSENGER PICK-UP;POLICE DEPARTMENT;1
WASH/REPAIR VEHCL-REPAIR ONLY;POLICE DEPARTMENT;1
